cohort,transition,n_episodes,n_events,median_time_days,prob_1yr_transition
E. coli Levofloxacin (2-state),S->notS,6467,1319,3594.3,0.07
E. coli Levofloxacin (2-state),notS->S,709,385,771.9,0.295
